DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
17-Apr-2026,EQ,"1,580.00","1,633.30","1,562.90","1,578.70","1,629.00","1,605.00","1,593.91","1,768.70","1,245.60",1631264,"2,60,00,92,912.00",46167
16-Apr-2026,EQ,"1,637.90","1,637.90","1,550.20","1,631.00","1,577.00","1,578.70","1,573.09","1,768.70","1,245.60",2338081,"3,67,80,21,264.80",84060
15-Apr-2026,EQ,"1,649.00","1,661.50","1,615.00","1,625.10","1,620.00","1,631.00","1,631.26","1,768.70","1,245.60",896875,"1,46,30,32,075.50",38384
13-Apr-2026,EQ,"1,600.00","1,637.50","1,587.00","1,630.00","1,625.00","1,625.10","1,623.53","1,768.70","1,245.60",652584,"1,05,94,87,879.70",34174
10-Apr-2026,EQ,"1,577.00","1,639.60","1,567.60","1,563.70","1,625.00","1,630.00","1,616.03","1,768.70","1,244.05",1127663,"1,82,23,40,104.40",44331
09-Apr-2026,EQ,"1,527.00","1,570.10","1,518.60","1,525.50","1,565.90","1,563.70","1,556.34","1,768.70","1,244.05",908839,"1,41,44,64,994.00",38185
08-Apr-2026,EQ,"1,599.60","1,614.90","1,515.40","1,544.50","1,538.00","1,525.50","1,542.57","1,768.70","1,244.05",738612,"1,13,93,57,686.80",40124
07-Apr-2026,EQ,"1,519.50","1,550.70","1,497.30","1,522.80","1,546.00","1,544.50","1,530.19","1,768.70","1,244.05",792891,"1,21,32,77,318.20",30173
06-Apr-2026,EQ,"1,553.50","1,555.00","1,472.20","1,553.50","1,534.00","1,522.80","1,505.75","1,768.70","1,244.05",1078191,"1,62,34,81,756.90",44307
02-Apr-2026,EQ,"1,539.80","1,575.50","1,456.60","1,570.30","1,570.00","1,553.50","1,499.41","1,768.70","1,244.05",1346193,"2,01,84,94,040.90",62130
01-Apr-2026,EQ,"1,622.10","1,660.00","1,558.90","1,599.00","1,574.20","1,570.30","1,602.19","1,768.70","1,244.05",460319,"73,75,16,889.10",39714
30-Mar-2026,EQ,"1,590.00","1,626.40","1,581.50","1,619.10","1,599.00","1,599.00","1,604.61","1,768.70","1,244.05",742218,"1,19,09,73,249.50",32167
27-Mar-2026,EQ,"1,635.00","1,653.90","1,610.10","1,646.60","1,620.00","1,619.10","1,630.94","1,768.70","1,244.05",790705,"1,28,95,89,434.20",45108
25-Mar-2026,EQ,"1,614.00","1,678.00","1,606.40","1,594.40","1,648.40","1,646.60","1,656.52","1,768.70","1,244.05",702340,"1,16,34,38,044.70",51449
24-Mar-2026,EQ,"1,577.90","1,605.70","1,558.40","1,556.30","1,592.80","1,594.40","1,585.34","1,768.70","1,244.05",373533,"59,21,76,857.90",28716
23-Mar-2026,EQ,"1,586.60","1,614.40","1,546.90","1,631.80","1,559.90","1,556.30","1,563.83","1,768.70","1,244.05",524399,"82,00,72,750.10",25769
20-Mar-2026,EQ,"1,645.00","1,652.90","1,624.20","1,640.40","1,624.20","1,631.80","1,635.66","1,768.70","1,234.10",388331,"63,51,78,244.00",18060
19-Mar-2026,EQ,"1,653.40","1,653.40","1,625.50","1,668.40","1,635.00","1,640.40","1,638.32","1,768.70","1,234.10",478035,"78,31,75,728.30",27163